name,type,attribute,time,lat,lng
耳石神社,名所,幸原２－５９－１,"すべり台,ブランコ,鉄棒,ｼﾞｬﾝｸﾞﾙｼﾞﾑ,うんてい,ｽﾌﾟﾘﾝｸﾞ遊具,その他遊具",35.139283,138.910414
幸原中道,名所,幸原１－２９１－１,"すべり台,ブランコ,鉄棒",35.136252,138.91359
八乙女神社,名所,徳倉６４９,"ブランコ,鉄棒",35.145047,138.913488
見目神社,名所,佐野１１１４－５,"すべり台,ブランコ,鉄棒",35.163867,138.917785
藍の沢神社,名所,佐野３１５－１,すべり台,35.167134,138.929597
上ノ橋下稲荷,名所,佐野４１８－１,ブランコ,35.170969,138.928892
千枚原北ガケの上,名所,千枚原１０－６,,35.137844,138.920647
小山中島公民館横,名所,谷田１２３８－１,"すべり台,ブランコ,鉄棒,ｼﾞｬﾝｸﾞﾙｼﾞﾑ,ｽﾌﾟﾘﾝｸﾞ遊具",35.118037,138.932169
天泊神社,名所,中４,すべり台,35.106321,138.934709
妙法華寺,名所,玉沢９６－４,ｽﾌﾟﾘﾝｸﾞ遊具,35.123208,138.962167
天神社,名所,川原ケ谷５１,すべり台,35.125235,138.926679
山中分校跡,名所,山中８５－１,"すべり台,ブランコ",35.155354,138.994914
右内神社,名所,梅名１５２,"すべり台,ブランコ,鉄棒",35.094299,138.930174
梅名稲荷,名所,梅名２１９－３３,鉄棒,35.091229,138.932947
左内神社,名所,中島３１０,"すべり台,ブランコ,鉄棒,うんてい",35.094383,138.932169
珍ぴ稲荷,名所,大場６９－３,"すべり台,ブランコ,鉄棒",35.093053,138.938172
八幡神社,名所,鶴喰４６,"すべり台,鉄棒",35.104681,138.925976
題目公園,名所,文教町１－４８４３－２外,,35.133064,138.910712
藤代団地公園,名所,藤代町４－７,ブランコ,35.10665,138.924716
藤代団地第２公園,名所,藤代町７－６,"鉄棒,ｼﾞｬﾝｸﾞﾙｼﾞﾑ",35.10708,138.924538
武藤団地公園,名所,青木３８－６,"ブランコ,鉄棒",35.105109,138.920185
近藤団地公園,名所,松本６３－８,,35.091703,138.918847
田辺団地公園,名所,松本３２３－６外,,35.093378,138.915703
加藤団地公園,名所,松本５０－６外,,35.092612,138.918281
奥野団地公園,名所,安久２０５－２３,"ブランコ,ｽﾌﾟﾘﾝｸﾞ遊具",35.087369,138.933159
明和開発団地公園,名所,安久３１１－１４,"すべり台,ブランコ",35.087491,138.931201
梅名団地公園,名所,梅名２７９－１５,"すべり台,ブランコ,鉄棒",35.09029,138.931338
菊菱不動産団地公園,名所,梅名３２１－１９,"すべり台,鉄棒",35.091187,138.930721
大場公社団地公園,名所,大場字上町１３－２６,"ブランコ,鉄棒",35.091778,138.935361
ｺｰﾎﾟﾗｽ大場団地公園,名所,大場１６３－１９,"すべり台,ブランコ,うんてい,トイレ",35.0927,138.939932
多呂第１公園,名所,多呂１３２－３外,"すべり台,ブランコ",35.098201,138.937351
多呂木内第２団地公園,名所,多呂２０６－４外,"ブランコ,鉄棒",35.097964,138.939014
多呂木内第３団地公園,名所,多呂２０３－１２外,,35.09749,138.938607
塚原団地公園,名所,塚原南原２１９－５４外,,35.131941,138.946291
山本団地公園,名所,谷田木ノ宮３９５－１５,すべり台,35.111591,138.933419
谷田押切公園,名所,谷田押切１２０９－１４外,"すべり台,ブランコ,鉄棒",35.118812,138.934256
谷田小山台団地公園,名所,谷田小山台１２６０－１外,"ブランコ,鉄棒",35.120439,138.932609
谷田天台公園,名所,谷田天台１３５４－４,"ブランコ,鉄棒",35.120218,138.934329
中団地公園,名所,中１６８－４７外,"すべり台,鉄棒",35.110549,138.930866
つつじケ丘団地公園 小公園,名所,谷田字穴田山２０２６,ブランコ,35.110981,138.943719
つつじケ丘団地公園 自由広場,名所,谷田字穴田山２０２０－１外,,35.111462,138.943381
東レエンジニアリング団地公園,名所,川原ケ谷７９９－２０,,35.131726,138.934028
旭ケ丘第２団地公園,名所,旭ケ丘４１５８－３外,"すべり台,ｽﾌﾟﾘﾝｸﾞ遊具",35.130632,138.929573
東レ旭ケ丘アパート上,名所,川原ケ谷君ケ沢４５９－１３,"ブランコ,鉄棒",35.132097,138.933226
天神原団地公園,名所,天神原４１０３－１４外,ブランコ,35.128357,138.927121
祇園山団地公園,名所,壱町田２７２－１外,"すべり台,鉄棒",35.12973,138.92221
光ケ丘第２団地公園,名所,光ケ丘８６４－１７外,ブランコ,35.13796,138.927556
光ケ丘第３団地公園,名所,光ケ丘６７－２２外,ブランコ,35.138401,138.928092
光ケ丘外周緑地公園,名所,光ケ丘３８－１外,"ブランコ,鉄棒",35.135732,138.929431
光ケ丘第４団地公園,名所,光ケ丘１１－５外,,35.135644,138.925163
光ケ丘第５団地公園,名所,光ケ丘３０－９外,,35.13549,138.928141
光ケ丘第６団地公園,名所,光ケ丘１４－５外,ブランコ,35.136631,138.924665
千枚原年金団地公園,名所,千枚原４－１６,"すべり台,ブランコ",35.138478,138.921813
千枚原緑地公園,名所,千枚原２－１９外,,35.138234,138.922366
富士ビレッジ公園,名所,富士ビレッジ２２４－７２外,"ブランコ,鉄棒",35.141582,138.919845
高台団地公園,名所,徳倉２－１４６－１,"すべり台,ブランコ,鉄棒",35.139476,138.917082
イハラ建成団地公園 １,名所,徳倉５－７４７－１１０,"ブランコ,鉄棒",35.147931,138.917846
イハラ建成団地公園 ２,名所,徳倉５－７４７－１１２,,35.147194,138.916803
東海不動産団地公園,名所,徳倉２－１１４７－１５,"ブランコ,鉄棒",35.150043,138.918053
田代団地公園,名所,徳倉８７６ー８７,"ブランコ,鉄棒",35.14899,138.91087
サンシェスタ三島萩公園,名所,萩１４１－９,"すべり台,ブランコ,鉄棒",35.148359,138.906308
東海ガス団地公園,名所,徳倉６２９－２２,"ブランコ,鉄棒",35.144643,138.915835
市の坂公園,名所,芙蓉台１－８－１０,"ブランコ,鉄棒",35.154096,138.918337
見晴公園,名所,芙蓉台１－１５－１３,鉄棒,35.153907,138.913488
松林公園,名所,芙蓉台３－１６－１２外,鉄棒,35.156688,138.916744
自然公園,名所,芙蓉台３－４－１,鉄棒,35.156596,138.920327
御岳神社,名所,青木３１,"すべり台,ブランコ,鉄棒",35.105989,138.920148
佐野学園前,名所,新谷１７７－１,"すべり台,鉄棒",35.106373,138.917487
神明神社,名所,平田１,,35.100323,138.913842
松本公民館前,名所,松本２９５－１,"すべり台,ブランコ",35.092697,138.916489
王子神社,名所,安久２８７,"すべり台,ブランコ,鉄棒,うんてい",35.087287,138.932467
安富神社,名所,安久４２４,"すべり台,ブランコ",35.083819,138.929399
錦が丘公園,名所,錦が丘４－２３,"すべり台,ブランコ,鉄棒,シーソー",35.111725,138.945905
けやきの丘公園,名所,錦が丘１－１５,,35.112978,138.942461
夏梅木古墳公園,名所,錦が丘１－６,,35.113625,138.945433
神川公園,名所,加茂川町３８８４－７,"すべり台,ｽﾌﾟﾘﾝｸﾞ遊具",35.123318,138.923071
シャリエ壱町田公園,名所,壱町田１０４－５,すべり台,35.130568,138.920116
清住緑地,名所,加屋町、清住町,,35.115475,138.913957
みかづき公園,名所,沢地３５－１,"鉄棒,ｽﾌﾟﾘﾝｸﾞ遊具",35.134549,138.923584
小山橋公園,名所,谷田字小山１８－１７,すべり台,35.119386,138.92813
やまざくら公園,名所,錦が丘１９－１１,,35.109816,138.947241
片平山公園,名所,佐野見晴台２－１９－７,複合遊具,35.165196,138.949826
記念碑公園,名所,大場字大明神洞1008-9,,35.105695,138.949942
三島測候所記念公園,名所,東本町２－７９０－１９、２１,,35.114187,138.925268
旭ヶ丘さくら公園,名所,旭ヶ丘369-64,,35.12812,138.93126
なの花公園,名所,徳倉一丁目29-15,,35.140377,138.913914
きよずみエコ公園,名所,清住町58-32,,35.114827,138.907174
徳倉二丁目公園,名所,徳倉二丁目59-26,,35.138346,138.915894
向山古墳群公園,名所,北沢３２０－２,"トイレ,多目的トイレ",35.106073,138.941372
松本東公園,名所,松本５４－１７,,35.092754,138.918965
つるかめ公園Ａ,名所,沢地１０７－１０,,35.137114,138.923079
つるかめ公園Ｂ,名所,沢地１１９－１８外,,35.138324,138.924547
三島駅北口ポケットパーク,名所,文教町１－２７６８－１,,35.128256,138.911074
さつき公園,名所,谷田字梨ノ木山1982-2,,35.108984,138.944872
青葉台花の会,花壇,若松町,,35.131733,138.925292
寿町老人会,花壇,寿町,,35.125406,138.908381
大宮町3丁目自治会,花壇,大宮町3丁目,,35.125485,138.915993
富田町美化友の会,花壇,富田町,,35.110634,138.917077
東大場花の会,花壇,東大場地内,,35.109605,138.952074
長伏,花壇,長伏,,35.088767,138.91407
はつね公園花壇,花壇,初音台,,35.126459,138.933838
三恵台自治会,花壇,三恵台,,35.129035,138.93935
山中町内会,花壇,山中新田,,35.155348,138.99503
千枚原老人会（千寿会）,花壇,沢地,,35.137243,138.921835
壱町田青少年健全育成会,花壇,壱町田,,35.134104,138.919759
加茂川町９組花壇の会,花壇,加茂川町,,35.126064,138.925762
川原ヶ谷坂の上花壇,花壇,川原ヶ谷,,35.120137,138.927612
旭ヶ丘緑地花壇,花壇,旭ヶ丘,,35.130138,138.928991
小山中島自治会,花壇,谷田,,35.117936,138.93188
田町,花壇,南田町,,35.111784,138.917313
夏梅木環境美化,花壇,谷田,,35.106564,138.935852
三ツ谷老人会,花壇,三ツ谷新田,,35.138142,138.962084
雪沢自治会,花壇,小山公民館前,,35.116284,138.928286
山田入り口,花壇,旭ヶ丘,,35.128131,138.932129
西旭ヶ丘町内会,花壇,川原ヶ谷,,35.129592,138.927569
旭ヶ丘町内会,花壇,旭ヶ丘,,35.130377,138.931201
御門環境美化(自治会),花壇,谷田御門(公民館敷地内),,35.110617,138.932633
壱町田２丁目,花壇,壱町田公民館,,35.130671,138.919008
谷田小山町内会,花壇,谷田小山１号線沿い,,35.117039,138.928948
赤橋花壇,花壇,三島市中央町,,35.120641,138.916138
桜ヶ丘桜寿会,花壇,谷田桜ヶ丘,,35.118746,138.936072
塚の台花壇,花壇,谷田,,35.124704,138.936598
特別養護老人ホーム御寿園,花壇,御園,,35.078214,138.923881
つりがねにんじんクラブ,花壇,大場(パサディナ町内),,35.115415,138.956996
錦が丘花壇の会,花壇,錦が丘公園,,35.110483,138.945859
老人福祉（西小）,花壇,緑町,,35.116501,138.909411
老人福祉（東小）,花壇,東町,,35.117921,138.924439
老人福祉（南小）,花壇,富田町,,35.109818,138.918257
あたご楽生会,花壇,川原ヶ谷（愛宕）,,35.124,138.931974
御殿町花の会,花壇,南本町,,35.117789,138.915062
シャリエ花の会,花壇,松が丘,,35.123737,138.935257
北上えこくらぶ,花壇,沢地,,35.142976,138.92794
谷田ひまわりの会,花壇,谷田西富士見町,,35.116909,138.931056
コーポラス大場,花壇,大場,,35.092858,138.940015
H21宮さんの川を守る会,花壇,大宮町,,35.121181,138.911803
山中商工組合,花壇,山中新田,,35.153769,138.99389
清住ミツマタ花壇友の会,花壇,清住町,,35.112804,138.906855
しらゆき会（押切老人会）,花壇,谷田押切,,35.119558,138.93472
芙蓉台フラワーフレンズ,花壇,芙蓉台２丁目,,35.155916,138.917441
若松会（老人クラブ）,花壇,若松町,,35.132441,138.928597
花を愛でる会,花壇,中島,,35.093053,138.934192
広小路駅前を美化にする会,花壇,広小路街,,35.118583,138.911047
就労継続支援Ｂ型事業所 アルシオン,花壇,北田町,,35.117958,138.917243
花愛好会,花壇,谷田,,35.109381,138.938888
ナルク三島花会,花壇,徳倉2丁目,,35.138344,138.915993
並木花の会,花壇,谷田,,35.114213,138.935316
富士見つばき会（つばき公園内）,花壇,谷田夏梅木(つばき公園内),,35.107729,138.942088
なでしこ,花壇,芝本町,,35.122219,138.912935
桃の木会,花壇,谷田夏梅木つつじヶ丘,,35.108532,138.942061
みゆき通り花の会,花壇,大宮町3丁目,,35.126095,138.9161
コスモスの会,花壇,大宮町2丁目,,35.124413,138.91757
八鶴悠和会,花壇,八反畑公民館,,35.101739,138.928245
花だん同好会,花壇,広小路町13-1,,35.118478,138.911994
中郷地区エコリーダー,花壇,中島,,35.102395,138.932912
花ぞの中島花壇,花壇,中島,,35.096187,138.932349
ハギの花,花壇,萩,,35.149255,138.907249
絆の会,花壇,中央町,,35.119577,138.918568
郷土と花を愛する会,花壇,梅名,,35.092829,138.929565
三嶋大社,花壇,ソメイヨシノ・ベニシダレ,,35.122399,138.918832
遺伝研桜並木,花壇,ソメイヨシノ,,35.11647194,138.9363649
上岩崎公園,花壇,ソメイヨシノ,,35.13473279,138.9164656
長伏公園,花壇,ソメイヨシノ,,35.08443317,138.9105594
源兵衛川沿い,花壇,ソメイヨシノ,,35.11547146,138.9140141
玉沢（玉沢桜街道）,花壇,ソメイヨシノ・エドヒガン,,35.11800772,138.9526808
塚原新田,花壇,ソメイヨシノ,,35.13254929,138.9450023
市山新田（坂公民館前）,花壇,ソメイヨシノ,,35.13775228,138.9619995
子供の森公園,花壇,ヤマザクラ,,35.14163017,138.9617795
光ヶ丘緑地,花壇,ソメイヨシノ,,35.13631118,138.9237968
末広山,花壇,ソメイヨシノ,,35.15779558,138.9281098
楽寿園,花壇,ソメイヨシノ,,35.1249175,138.9112172
